alg,type,n,time,comp,swap,mem
HeapSort,losowe,100,75300,1015,577,100
HeapSort,rosnace,100,20700,1081,640,100
HeapSort,malejace,100,12200,944,516,100
HeapSort,czesciowo,100,12000,1070,623,100
HeapSort,losowe,1000,152300,16878,9087,1000
HeapSort,rosnace,1000,136300,17583,9708,1000
HeapSort,malejace,1000,135400,15965,8316,1000
HeapSort,czesciowo,1000,150600,17414,9600,1000
HeapSort,losowe,5000,830000,107682,57040,5000
HeapSort,rosnace,5000,768800,112126,60932,5000
HeapSort,malejace,5000,739500,103227,53436,5000
HeapSort,czesciowo,5000,793800,111279,60058,5000
HeapSort,losowe,10000,1814900,235546,124368,10000
HeapSort,rosnace,10000,1068400,244460,131956,10000
HeapSort,malejace,10000,645600,226682,116696,10000
HeapSort,czesciowo,10000,706700,242413,130020,40016
HeapSort,losowe,50000,5117200,1409955,737606,200016
HeapSort,rosnace,50000,3508800,1455438,773304,200016
HeapSort,malejace,50000,3614800,1366047,698892,200016
HeapSort,czesciowo,50000,4023600,1446945,767824,200016
MergeSort,losowe,100,118400,542,672,672
MergeSort,rosnace,100,80900,316,672,672
MergeSort,malejace,100,91600,356,672,672
MergeSort,czesciowo,100,68700,472,672,672
MergeSort,losowe,1000,472700,8706,9976,448528
MergeSort,rosnace,1000,231800,4932,9976,9976
MergeSort,malejace,1000,201700,5044,9976,9976
MergeSort,czesciowo,1000,220200,8131,9976,9976
MergeSort,losowe,5000,860000,55284,61808,484448
MergeSort,rosnace,5000,632100,29804,61808,482368
MergeSort,malejace,5000,568700,32004,61808,566208
MergeSort,czesciowo,5000,635000,51252,61808,482368
MergeSort,losowe,10000,1763300,120404,133616,1049192
MergeSort,rosnace,10000,1185900,64608,133616,1047960
MergeSort,malejace,10000,1219400,69008,133616,1048696
MergeSort,czesciowo,10000,1285700,112316,133616,1048440
MergeSort,losowe,50000,15341600,718040,784464,784464
MergeSort,rosnace,50000,4274700,382512,784464,5265792
MergeSort,malejace,50000,4829800,401952,784464,5348976
MergeSort,czesciowo,50000,4741700,681105,784464,5245528
QuickSort,losowe,100,112100,606,384,66
QuickSort,rosnace,100,100600,662,460,66
QuickSort,malejace,100,49800,610,328,69
QuickSort,czesciowo,100,101700,607,308,68
QuickSort,losowe,1000,460600,10759,5320,57408
QuickSort,rosnace,1000,273700,9666,5332,330744
QuickSort,malejace,1000,126800,10434,6077,661
QuickSort,czesciowo,1000,186300,10323,5813,683
QuickSort,losowe,5000,958600,79602,43201,3337
QuickSort,rosnace,5000,791400,70751,37154,3321
QuickSort,malejace,5000,806800,71556,37905,328696
QuickSort,czesciowo,5000,709300,71156,37636,40448
QuickSort,losowe,10000,1237500,158597,86512,697424
QuickSort,rosnace,10000,1000500,152173,86134,311136
QuickSort,malejace,10000,990100,148429,80833,330744
QuickSort,czesciowo,10000,1107200,152625,80889,697408
QuickSort,losowe,50000,4838800,916137,471575,2057160
QuickSort,rosnace,50000,3489100,933417,506165,2288296
QuickSort,malejace,50000,3472100,895306,477098,2097152
QuickSort,czesciowo,50000,3916000,958847,508160,2225832
BubbleSort,losowe,100,187100,4859,2186,4859
BubbleSort,rosnace,100,4600,99,0,99
BubbleSort,malejace,100,313300,4950,4950,4950
BubbleSort,czesciowo,100,219100,4859,622,4859
BubbleSort,losowe,1000,4219100,499290,256254,499290
BubbleSort,rosnace,1000,11500,999,0,999
BubbleSort,malejace,1000,1409100,499500,499500,499500
BubbleSort,czesciowo,1000,2021500,498870,56094,498870
BubbleSort,losowe,5000,32081000,12481747,6200026,12481747
BubbleSort,rosnace,5000,13700,4999,0,4999
BubbleSort,malejace,5000,15640000,12497500,12497500,12497500
BubbleSort,czesciowo,5000,23909900,12464089,1486602,12464089
BubbleSort,losowe,10000,137449200,49980635,25082284,49980635
BubbleSort,rosnace,10000,113400,9999,0,40016
BubbleSort,malejace,10000,99705700,49995000,49995000,49995000
BubbleSort,czesciowo,10000,98249700,49937370,5881374,49937370
BubbleSort,losowe,50000,4197499500,1249942615,626355501,1249942615
BubbleSort,rosnace,50000,105400,49999,0,200016
BubbleSort,malejace,50000,1620166000,1249975000,1249975000,1249975000
BubbleSort,czesciowo,50000,1357159300,1249403085,143298328,1249403085
